32725|18
18951|39
33166|12
78411|52
43055|72
20002|28
48503|50
33841|2
51027|2
47904|60
55404|57
01609|25
15853|12
40741|55
72110|22
32619|4
97439|24
32003|23
10029|285
92708|76
21229|32
41030|8
11530|51
31901|74
37043|23
26501|4
73071|51
39531|14
33334|52
04856|22
94080|48
58501|107
06010|68
59801|14
63131|98
70112|87
97223|44
15237|72
37232|155
52655|48
93308|14
70441|6
19013|54
38655|49
22908|99
51601|12
60659|33
93030|20
12901|73
83702|50
62933|2
31768|31
45750|56
37862|46
92506|67
23462|37
97403|4
33140|117
71665|2
11207|22
33161|41
07924|5
10941|66
84120|31
26301|31
48312|10
30809|28
77081|26
90210|64
19422|32
94565|38
31794|48
04074|32
24017|18
97225|123
98557|4
58425|6
05201|32
59802|38
64108|72
64014|36
11004|103
90745|22
89123|12
52402|38
92025|89
53095|52
15145|6
37604|145
33128|10
44124|36
70546|19
02149|40
43081|46
19047|64
01007|5
97035|67
98104|301
44106|132
44601|28
28713|10
11427|23
17551|9
97355|32
80226|52
50314|60
97702|23
33907|64
54452|16
10023|63
83605|41
11215|94
90015|44
31082|15
60521|71
03756|95
70503|59
07601|109
80528|35
61114|34
90024|52
17033|104
30082|15
61821|22
19320|29
11249|10
11794|30
66160|62
18764|6
13440|36
99206|12
28345|14
84010|28
44310|26
75390|102
71082|10
87112|43
70363|18
77042|6
52722|34
06511|70
36604|55
93906|35
32805|2
70006|70
26208|2
01923|52
85131|4
85021|61
92835|54
87532|14
02061|25
78504|47
29407|68
61738|8
77074|102
33024|62
28270|14
32207|105
85013|40
43214|92
77054|101
91355|49
64804|104
45227|17
16601|57
85711|61
60611|202
02115|112
13126|48
16901|24
84660|10
74361|20
48315|24
63028|57
32950|16
90403|42
30125|30
77089|34
30178|7
32159|62
32607|44
87002|19
17111|10
68198|130
80026|51
49707|26
40216|29
78229|205
93274|26
90027|174
06488|32
62901|44
85012|95
46219|45
49913|12
79095|2
90720|57
92357|10
85048|20
37411|12
02171|11
91942|98
34110|38
41653|58
29506|86
94611|115
46060|35
61938|54
30701|43
70808|138
21201|124
91910|79
18102|46
43210|89
60660|12
85747|8
32514|72
47807|35
56303|176
32068|14
98632|102
53212|26
